english;turkish;level;part_of_speech;;;;
delete ;silmek;B2 ;verb;;;;
deliberate ;kasýtlý;B2 ;adjective;;;;
deliberately ;kasýtlý olarak;B2 ;adverb;;;;
delicate ;ince, hassas, kýrýlgan;C1 ;adjective;;;;
delicious ;nefis, lezzetli;A1 ;adjective;;;;
delight ;keyif, sevinç;B2 ;noun;;;;
delight ;"sevindirmek, memnun etmek
zevk almak, keyif almak";B2 ;verb;;;;
delighted ;"sevinçli, memnun; heyecanlý";B2 ;adjective;;;;
deliver ;"teslim etmek, ulaþtýrmak
(konuþma, nutuk) sunmak, 
vermek";B1 ;verb;;;;
delivery ;"teslimat
daðýtým";B2 ;noun;;;;
demand ;talep, istek;B2 ;noun;;;;
demand ;"talep etmek; dayatmak";B2 ;verb;;;;
democracy ;demokrasi;B2 ;noun;;;;
democratic ;demokratik;B2 ;adjective;;;;
demon ;"cin; þeytan";C1 ;noun;;;;
demonstrate ;kanýtlamak, göstermek;B2 ;verb;;;;
demonstration ;"gösteri, miting
tatbikat";B2 ;noun;;;;
denial ;"inkâr, yalanlama
red";C1 ;noun;;;;
denounce ;"kýnamak; suçlamak";C1 ;verb;;;;
dense ;sýk, yoðun;C1 ;adjective;;;;
density ;sýklýk, yoðunluk;C1 ;noun;;;;
dentist ;diþçi, diþ hekimi;A2 ;noun;;;;
deny ;"inkâr etmek; reddetmek";B2 ;verb;;;;
depart ;kalkmak, hareket etmek;B2 ;verb;;;;
department ;"bölüm, departman
bakanlýk, daire";A2 ;noun;;;;
departure ;kalkýþ, hareket, ayrýlma;B1 ;noun;;;;
depend ;belli olmaz;A2 ;verb;;;;
dependence ;baðýmlýlýk;C1 ;noun;;;;
dependent ;baðýmlý;B2 ;adjective;;;;
depict ;tasvir etmek, resmetmek;C1 ;verb;;;;
deploy ; (asker, silah) konuþlandýrmak;C1 ;verb;;;;
deployment ;"konuþlandýrma; yararlanma";C1 ;noun;;;;
deposit ;"peþinat, kaparo
depozito";B2 ;noun;;;;
deposit ;" (eþya vb.) koymak
para yatýrmak";C1 ;verb;;;;
depressed ;bunalýmlý, caný sýkkýn;B2 ;adjective;;;;
depressing ;iç karartýcý, kasvet verici;B2 ;adjective;;;;
depression ;bunalým, depresyon;B2 ;noun;;;;
deprive ;yoksun býrakmak;C1 ;verb;;;;
depth ;derinlik;B2 ;noun;;;;
deputy ;muavin;C1 ;noun;;;;
derive ; (zevk vb.) almak, elde etmek;B2 ;verb;;;;
descend ;"inmek; alçalmak";C1 ;verb;;;;
descent ;"alçalma, iniþ
soy, köken";C1 ;noun;;;;
describe ;"anlatmak; tanýmlamak";A1 ;verb;;;;
description ;"betimleme, anlatma
tanýmlama";A1 ;noun;;;;
desert ;çöl;A2 ;noun;;;;
desert ;terk etmek;B2 ;verb;;;;
deserve ;"hak etmek; layýk olmak";B2 ;verb;;;;
design ;tasarým, model;A1 ;noun;;;;
design ;tasarýmlamak;A1 ;verb;;;;
designate ;"belirtmek; tahsis etmek
seçmek, atamak";C1 ;verb;;;;
designer ;tasarýmcý;A2 ;noun;;;;
desirable ;istenen, makbul;C1 ;adjective;;;;
desire ;istek, arzu;B2 ;noun;;;;
desire ;istemek, arzu etmek;B2 ;verb;;;;
desk ;"çalýþma masasý; sýra
masa";A1 ;noun;;;;
desktop ;"masaüstü
masaüstü bilgisayar";C1 ;noun;;;;
desperate ;" (çaresizlikten) þaþýrmýþ
mutsuz";B2 ;adjective;;;;
desperately ;"çok; ümitsizce";B2 ;adverb;;;;
despite ;raðmen, karþýn;B1 ;preposition;;;;
destination ;gideceði yer, varýlacak yer;B1 ;noun;;;;
destroy ;yýkmak, mahvetmek;A2 ;verb;;;;
destruction ;yýkým, tahribat;B2 ;noun;;;;
destructive ;tahrip edici;C1 ;adjective;;;;
detail ;ayrýntý, detay;A1 ;noun;;;;
detail ;ayrýntýlarýný vermek;B2 ;verb;;;;
detailed ;ayrýntýlý;B2 ;adjective;;;;
detain ;"alýkoymak; gözaltýna almak; geciktirmek";C1 ;verb;;;;
detect ;"bulmak, keþfetmek; sezmek";B2 ;verb;;;;
detection ;bulma, ortaya çýkarma/çýkma, keþif;C1 ;noun;;;;
detective ;dedektif, polis hafiyesi;A2 ;noun;;;;
detention ;gözaltýna alma;C1 ;noun;;;;
deteriorate ;"gerilemek, kötüye gitmek; bozulmak";C1 ;verb;;;;
determination ;kararlýlýk, azim;B2 ;noun;;;;
determine ;belirlemek;B1 ;verb;;;;
determined ;kararlý, azimli;B1 ;adjective;;;;
devastate ;harap etmek, mahvetmek;C1 ;verb;;;;
develop ;"geliþmek, dönüþmek; geliþtirmek, dönüþtürmek";A2 ;verb;;;;
development ;"geliþme, geliþim; geliþtirme";B1 ;noun;;;;
device ;tertibat, düzenek;A2 ;noun;;;;
devil ;"Þeytan
iblis, kötü ruh";C1 ;noun;;;;
devise ;tasarlamak, icat etmek;C1 ;verb;;;;
devote ;adamak, vakfetmek;B2 ;verb;;;;
diagnose ;teþhis etmek, tanýlamak;C1 ;verb;;;;
diagnosis ;teþhis, taný;C1 ;noun;;;;
diagram ;þema, diyagram;B1 ;noun;;;;
dialogue ;diyalog;A1 ;noun;;;;
diamond ;"elmas
(iskambil) karo";B1 ;noun;;;;
diary ;"ajanda, randevu defteri
günlük";A2 ;noun;;;;
dictate ;"yazdýrmak, dikte etmek
emretmek, zorla kabul ettirmek";C1 ;verb;;;;
dictator ;diktatör;C1 ;noun;;;;
dictionary ;sözlük;A1 ;noun;;;;
die ;ölmek;A1 ;verb;;;;
diet ;"beslenme (düzeni), besin
perhiz";A1 ;noun;;;;
differ ;farklý olmak, farký olmak;B2 ;verb;;;;
difference ;"fark, farklýlýk
anlaþmazlýk, uyuþmazlýk";A1 ;noun;;;;
different ;farklý;A1 ;adjective;;;;
differentiate ;"ayýrt etmek; ayýrmak";C1 ;verb;;;;
differently ;farklý;A2 ;adverb;;;;
difficult ;güç, zor;A1 ;adjective;;;;
difficulty ;güçlük, zorluk, sýkýntý;B1 ;noun;;;;
dig ;kazmak;B2 ;verb;;;;
digital ;"elektronik, dijital
dijital";A2 ;adjective;;;;
dignity ;aðýrbaþlýlýk, vakar;C1 ;noun;;;;
dilemma ;ikilem;C1 ;noun;;;;
dimension ;boyut;C1 ;noun;;;;
diminish ;"azalmak; eksilmek; azaltmak, eksiltmek";C1 ;verb;;;;
dinner ; (öðle, akþam) yemek;A1 ;noun;;;;
dip ;"daldýrmak, batýrmak
alçalmak, alçaltmak";C1 ;verb;;;;
diplomat ;diplomat;C1 ;noun;;;;
diplomatic ;diplomatik;C1 ;adjective;;;;
direct ;"aracýsýz; doðrudan";A2 ;adjective;;;;
direct ;"aracýsýz; doðrudan
doðrudan, aktarmasýz";B1 ;adverb;;;;
direct ;"yöneltmek
emretmek, talimat vermek";B1 ;verb;;;;
direction ;"yön, taraf
yönerge, yol tarifi";A2 ;noun;;;;
directly ;tam olarak, doðrudan doðruya;B1 ;adverb;;;;
director ;"müdür, direktör
yönetmen";A2 ;noun;;;;
directory ; (telefon vb.) rehber;C1 ;noun;;;;
dirt ;"kir, pislik
toz, toprak";B1 ;noun;;;;
dirty ;"kirli, pis
açýk saçýk, müstehcen";A1 ;adjective;;;;
disability ;"sakatlýk
engellilik";B2 ;noun;;;;
disabled ;engelli, özürlü;B2 ;adjective;;;;
disadvantage ;dezavantaj, eksik;B1 ;noun;;;;
disagree ;farklý görüþlerde olmak, uyuþmamak;A2 ;verb;;;;
disagreement ;anlaþmazlýk, uyuþmazlýk;B2 ;noun;;;;
disappear ;gözden kaybolmak, ortadan kaybolmak;A2 ;verb;;;;
disappoint ;hayal kýrýklýðýna uðratmak, ümidini kýrmak;B2 ;verb;;;;
disappointed ;hayal kýrýklýðýna uðramýþ, ümidi kýrýlmýþ;B1 ;adjective;;;;
disappointing ;"can sýkýcý; düþ kýrýklýðýna sebep olan";B1 ;adjective;;;;
disappointment ;hayal kýrýklýðý;B2 ;noun;;;;
disaster ;felaket, âfet;A2 ;noun;;;;
disastrous ;feci, korkunç;C1 ;adjective;;;;
disc ;disk, yuvarlak yassý cisim;B2 ;noun;;;;
discard ;atmak, ýskartaya çýkarmak;C1 ;verb;;;;
discharge ;"tahliye etmek; taburcu etmek; (kiþi) çýkarmak";C1 ;verb;;;;
discipline ;disiplin, terbiye;B2 ;noun;;;;
disclose ;"açýklamak; ifþa etmek";C1 ;verb;;;;
disclosure ;"açýða çýkarma; açýklama";C1 ;noun;;;;
discount ;indirim, iskonto;B1 ;noun;;;;
discount ;"hesaba katmamak; saymamak";B2 ;verb;;;;
discourage ;vazgeçirmek, cesaretini kýrmak;B2 ;verb;;;;
discourse ;söylem;C1 ;noun;;;;
discover ;keþfetmek, bulmak;A2 ;verb;;;;
discovery ;buluþ, keþif;A2 ;noun;;;;
discretion ;"takdir hakký
temkin, basiret";C1 ;noun;;;;
discrimination ;ayýrým, ayýrýmcýlýk;C1 ;noun;;;;
discuss ;görüþmek, tartýþmak;A1 ;verb;;;;
discussion ;görüþme, tartýþma;A2 ;noun;;;;
disease ;hastalýk;A2 ;noun;;;;
dish ;"yemek kabý, servis kabý
yemek";A1 ;noun;;;;
dishonest ;"namussuz; sahtekâr";B2 ;adjective;;;;
disk ; (bilgisayar) disk;B2 ;noun;;;;
dislike ;sevmeme, antipati, hoþlanmama;B1 ;noun;;;;
dislike ;sevmemek, hoþlanmamak;B1 ;verb;;;;
dismiss ;"ciddiye almamak, hafife almak; zihninden uzaklaþtýrmak
serbest býrakmak, göndermek";B2 ;verb;;;;
dismissal ;"ciddiye almama; iþten çýkarma; iþten çýkarýlma";C1 ;noun;;;;
disorder ;"karýþýklýk, düzensizlik
(beden, zihin) bozukluk,
rahatsýzlýk";B2 ;noun;;;;
displace ;yerini almak, yerine geçmek;C1 ;verb;;;;
display ;"vitrin
sergileme, gösterim";B2 ;noun;;;;
display ;sergilemek;B2 ;verb;;;;
disposal ;atma, elden çýkarma;C1 ;noun;;;;
dispose ;atmak, elden çýkarmak, -den kurtulmak;C1 ;verb;;;;
dispute ;uyuþmazlýk, çatýþma;C1 ;noun;;;;
dispute ;"tartýþmak; karþý çýkmak";C1 ;verb;;;;
disrupt ;"sekte vurmak; engellemek";C1 ;verb;;;;
disruption ;engelleme, sekte vurma;C1 ;noun;;;;
dissolve ;"erimek; eritmek; çözülmek; çözmek";C1 ;verb;;;;
distance ;uzaklýk, mesafe;A2 ;noun;;;;
distant ;"uzak
mesafeli, soðuk";B2 ;adjective;;;;
distinct ;"belirgin, açýk seçik
farklý, ayrý";B2 ;adjective;;;;
distinction ;fark, ayýrým;C1 ;noun;;;;
distinctive ;"belirleyici; karakteristik; özel";C1 ;adjective;;;;
distinguish ;ayýrt etmek;B2 ;verb;;;;
distort ;çarpýtmak, bozmak;C1 ;verb;;;;
distract ;"dikkatini baþka yöne çekmek; dikkatini daðýtmak";B2 ;verb;;;;
distress ;acý, ýzdýrap, keder;C1 ;noun;;;;
distress ;"üzmek; ýstýrap vermek";C1 ;verb;;;;
distribute ;daðýtmak;B2 ;verb;;;;
distribution ;daðýlým;B2 ;noun;;;;
district ;"bölge, yöre
ilçe, semt, mahalle";B2 ;noun;;;;
disturb ;rahatsýz etmek;B2 ;verb;;;;
disturbing ;"üzücü; huzursuz edici";C1 ;adjective;;;;
dive ; (balýklama) dalma, dalýþ;B2 ;noun;;;;
dive ; (su, balýklama vb.) dalmak;B2 ;verb;;;;
diverse ;"farklý; ayrý; çeþitli";B2 ;adjective;;;;
diversity ;çeþitlilik;B2 ;noun;;;;
divert ;"saptýrmak; yönünü deðiþtirtmek; kaydýrmak";C1 ;verb;;;;
divide ;"bölünmek; bölmek
daðýtmak, paylaþtýrmak";B1 ;verb;;;;
divide ;"farklýlýk; (M) uçurum";B2 ;noun;;;;
divine ;kutsal, tanrýsal;C1 ;adjective;;;;
division ;"bölünme; ayrým; paylaþma, bölüþme
(matematik) bölme";B2 ;noun;;;;
divorce ;boþanma;B2 ;noun;;;;
divorce ;"boþamak; boþanmak";B2 ;verb;;;;
divorced ;boþanmýþ;A2 ;adjective;;;;
do ;yapmak;A1 ;verb;;;;
do ;*Yardýmcý fiil;A1 ;auxiliary verb;;;;
doctor ;"doktor, hekim
doktora derecesi olan, doktor";A1 ;noun;;;;
doctrine ;öðreti, doktrin;C1 ;noun;;;;
document ;belge, doküman;A2 ;noun;;;;
documentary ;belgesel, dokümanter;B1 ;noun;;;;
dog ;köpek;A1 ;noun;;;;
dollar ; (Amerika, Kanada, Avustralya) dolar;A1 ;noun;;;;
domain ;" (bilgi, faaliyet vb.) alan
(bilgisayar) alan";C1 ;noun;;;;
domestic ;"yerli, ülke içi
evcil";B2 ;adjective;;;;
dominance ;"hâkimiyet; üstünlük";C1 ;noun;;;;
dominant ;baskýn;B2 ;adjective;;;;
dominate ;"hâkim olmak; üstünlük kurmak";B2 ;verb;;;;
donate ;baðýþlamak;B1 ;verb;;;;
donation ;baðýþ;B2 ;noun;;;;
donor ;"baðýþçý
(organ vb.) donör";C1 ;noun;;;;
door ;kapý;A1 ;noun;;;;
dose ;doz;C1 ;noun;;;;
dot ;nokta, puan, benek;B2 ;noun;;;;
double ;iki katý;A2 ;adjective;;;;
double ;iki katý;A2 ;determiner;;;;
double ;"iki katýna çýkmak; iki katýna çýkarmak, ikiyle çarpmak";A2 ;verb;;;;
double ;çift;B1 ;adverb;;;;
doubt ;"kuþku, þüphe; tereddüt";B1 ;noun;;;;
doubt ;"kuþku duymak, þüphe etmek; ihtimal vermemek";B1 ;verb;;;;
down ;"aþaðýya; aþaðýda
yazýya dökülmüþ, kaðýt üzerinde";A1 ;adverb;;;;
down ;boyunca, aþaðýya doðru;A1 ;preposition;;;;
download ;indirme;A2 ;noun;;;;
download ; (bilgisayar) indirmek;A2 ;verb;;;;
downstairs ;"merdivenlerden aþaðýya; alt kat/kata/katta";A1 ;adverb;;;;
downstairs ;"merdivenlerden aþaðýya; alt kat/kata/katta";A2 ;adjective;;;;
downwards ;aþaðýya doðru;B2 ;adverb;;;;
dozen ;düzine;B2 ;noun;;;;
draft ;taslak, müsvedde;B2 ;noun;;;;
draft ;müsvedde yapmak, taslak hazýrlamak;B2 ;verb;;;;
drag ;çekmek, sürümek;B2 ;verb;;;;
drain ;"suyu çekilerek kurumak; suyunu çekerek kurutmak
akmak, akýtmak, boþaltmak";C1 ;verb;;;;
drama ; (tiyatro, televizyon vb.) oyun, piyes;A2 ;noun;;;;
dramatic ;"dikkat çekici, çarpýcý
abartýlý davranan, velveleci";B2 ;adjective;;;;
dramatically ;"çarpýcý biçimde; etkileyici biçimde; abartýlý bir biçimde";B2 ;adverb;;;;
draw ;"(resim) çizmek
çekmek, çýkarmak";A1 ;verb;;;;
drawing ;"karakalem resim
resim çizme";A2 ;noun;;;;
dream ;rüya, düþ;A2 ;noun;;;;
dream ;"rüya/rüyada görmek
hayal etmek";A2 ;verb;;;;
dress ;elbise;A1 ;noun;;;;
dress ;"giyinmek; giydirmek";A1 ;verb;;;;
drift ;sürüklenmek;C1 ;verb;;;;
drink ;içecek;A1 ;noun;;;;
drink ;içmek;A1 ;verb;;;;
drive ;" (araba, otobüs, tren vb.) sürmek; kullanmak";A1 ;verb;;;;
drive ;arabayla yolculuk, araba gezintisi;A2 ;noun;;;;
driver ;"sürücü; þoför";A1 ;noun;;;;
driving ; (araba vb.) kullanma;A2 ;noun;;;;
driving ;"þiddetli, etkin; harekete geçirici";C1 ;adjective;;;;
drop ;"düþürmek; atmak; býrakmak
düþmek, inmek ";A2 ;verb;;;;
drop ;"damla
düþüþ";B1 ;noun;;;;
drought ;kuraklýk;B2 ;noun;;;;
drown ;" (suda) boðulmak; boðmak";C1 ;verb;;;;
drug ;"uyuþturucu
ilaç";A2 ;noun;;;;
drum ;davul, trampet;B1 ;noun;;;;
drunk ;sarhoþ;B1 ;adjective;;;;
dry ;kuru;A2 ;adjective;;;;
dry ;"kurumak; kurutmak, kurulamak";A2 ;verb;;;;
dual ;"çift; ikili, çifte";C1 ;adjective;;;;
dub ;"lakap takmak, ad takmak
seslendirmek, dublaj yapmak";C1 ;verb;;;;
due ;"-den dolayý
ödenmesi gerekli";B1 ;adjective;;;;
dull ;sýkýcý, ruhsuz, tekdüze;B2 ;adjective;;;;
dumb ;"dilsiz
aptal";C1 ;adjective;;;;
dump ; (çöp vb.) boþaltmak, boca etmek;B2 ;verb;;;;
duo ; (müzik) ikili;C1 ;noun;;;;
duration ;süre;B2 ;noun;;;;
during ;"esnasýnda; boyunca; sýrasýnda";A1 ;preposition;;;;
dust ;toz;B1 ;noun;;;;
duty ;görev;B1 ;noun;;;;
DVD ;DVD;A1 ;noun;;;;
dynamic ; (kiþi) canlý, dinamik;B2 ;adjective;;;;
each ;her bir;A1 ;adverb;;;;
each ;her bir;A1 ;determiner;;;;
each ;her bir;A1 ;pronoun;;;;
eager ;hevesli, istekli;C1 ;adjective;;;;
ear ;kulak;A1 ;noun;;;;
early ;"erken, baþlangýç, baþlarýnda
vaktinden önce, erken";A1 ;adjective;;;;
early ;erken, baþlangýç, baþlarýnda;A1 ;adverb;;;;
earn ;" (para) kazanmak
(hak) kazanmak";A2 ;verb;;;;
earnings ;kazanç, çalýþarak kazanýlan para;C1 ;noun;;;;
earth ;"dünya
toprak, yeryüzü";A2 ;noun;;;;
earthquake ;deprem, yer sarsýntýsý;B1 ;noun;;;;
ease ;kolaylýk, rahatlýk;C1 ;noun;;;;
ease ;"yavaþca hareket ettirmek
hafiflemek, dinmek";C1 ;verb;;;;
easily ;kolaylýkla, kolayca;A2 ;adverb;;;;
east ;doðu;A1 ;adjective;;;;
east ;"doðuya doðru; doðu yakasýnda";A1 ;adverb;;;;
east ;doðu;A1 ;noun;;;;
eastern ;"doðu; doðuya ait";B1 ;adjective;;;;
easy ;"kolay
rahat";A1 ;adjective;;;;
eat ;"yemek
yemek yemek";A1 ;verb;;;;
echo ;yanký;C1 ;noun;;;;
echo ;yankýlanmak, aksetmek;C1 ;verb;;;;
ecological ;ekolojik, çevreye ait;C1 ;adjective;;;;
economic ;"ekonomik; iktisadi";B1 ;adjective;;;;
economics ;ekonomi (bilimi), iktisat;B2 ;noun;;;;
economist ;"ekonomist; iktisatçý";B2 ;noun;;;;
economy ;ekonomi;B1 ;noun;;;;
edge ;"kýyý, kenar; uç
(býçak vb.) keskin kenar";B1 ;noun;;;;
edit ;"yayýna hazýrlamak
(tv veya radyo programý) düz-
enlemek";B2 ;verb;;;;
edition ;baský, basým;B2 ;noun;;;;
editor ;"editör, yayýn müdürü, yayýncý
düzeltmen";B1 ;noun;;;;
educate ;eðitmek;B1 ;verb;;;;
educated ;okumuþ, eðitim görmüþ;B1 ;adjective;;;;
education ;eðitim, öðretim;A2 ;noun;;;;
educational ;eðitici, eðitimle ilgili;B1 ;adjective;;;;
effect ;"etki; sonuç";A2 ;noun;;;;
effective ;etkili, tesirli;B1 ;adjective;;;;
effectively ;etkin bir þekilde;B1 ;adverb;;;;
effectiveness ;etkililik, fayda;C1 ;noun;;;;
efficiency ;"verimlilik; iþinin ehli olma";C1 ;noun;;;;
efficient ;"verimli; iþinin ehli";B2 ;adjective;;;;
efficiently ;verimli bir biçimde;B2 ;adverb;;;;
effort ;"çaba, gayret
zahmet, külfet";B1 ;noun;;;;
egg ;yumurta;A1 ;noun;;;;
ego ;benlik, ego;C1 ;noun;;;;
eight ;sekiz;A1 ;number;;;;
eighteen ;on sekiz;A1 ;number;;;;
eighty ;Seksen;A1 ;number;;;;
either ;de;A2 ;adverb;;;;
either ;"ikisinden biri; hangisi olursa";A2 ;determiner;;;;
either ;"ikisinden biri; hangisi olursa";A2 ;pronoun;;;;
elaborate ;"özenle hazýrlanmýþ; ayrýntýlý";C1 ;adjective;;;;
elbow ;dirsek;B2 ;noun;;;;
elderly ;yaþlý;B2 ;adjective;;;;
elect ;seçmek;B2 ;verb;;;;
election ;seçim;B1 ;noun;;;;
electoral ;seçimle/seçmenle ilgili;C1 ;adjective;;;;
electric ;"elektrik; elektrikli";A2 ;adjective;;;;
electrical ;"elektrik; elektrikli";A2 ;adjective;;;;
electricity ;elektrik;A2 ;noun;;;;
electronic ;elektronik;A2 ;adjective;;;;
electronics ;elektronik;B2 ;noun;;;;
elegant ;zarif, þýk;B2 ;adjective;;;;
element ;"öðe, unsur
element";B1 ;noun;;;;
elementary ;"baþlangýç
basit, temel";B2 ;adjective;;;;
elephant ;fil;A1 ;noun;;;;
elevate ;"yükseltmek; terfi ettirmek, yukarý kaldýrmak";C1 ;verb;;;;
eleven ;on bir;A1 ;number;;;;
eligible ;uygun, gerekli þartlara sahip;C1 ;adjective;;;;
eliminate ;"ortadan kaldýrmak
elemek";B2 ;verb;;;;
elite ;seçkinler, elit tabaka, kaymak tabaka;C1 ;noun;;;;
else ;"-den baþka; (daha) baþka";A1 ;adverb;;;;
elsewhere ;"baþka yere; baþka yerde";B2 ;adverb;;;;
email ;elektronik posta, e-mail;A1 ;noun;;;;
email ;elektronik posta ile göndermek, e-mail ile göndermek;A1 ;verb;;;;
embark ;gemiye binmek;C1 ;verb;;;;
embarrassed ;"utanmýþ; mahcup";B1 ;adjective;;;;
embarrassing ;"utandýrýcý; mahcup edici";B1 ;adjective;;;;
embarrassment ;utanma, sýkýlma;C1 ;noun;;;;
embassy ;elçilik;C1 ;noun;;;;
embed ;gömmek, yerleþtirmek;C1 ;verb;;;;
embody ;sembolü olmak;C1 ;verb;;;;
embrace ;kucaklamak, baðrýna basmak;B2 ;verb;;;;
emerge ;"(ortaya) çýkmak, belirmek
meydana çýkmak";B2 ;verb;;;;
emergence ;ortaya çýkma;C1 ;noun;;;;
emergency ;"acil durum; olaðanüstü durum";B1 ;noun;;;;
emission ;"yayma; emisyon, salým";B2 ;noun;;;;
emotion ;duygu, coþku, his;B1 ;noun;;;;
emotional ;"duygularla ilgili, duygusal
duygu yüklü";B2 ;adjective;;;;
emotionally ;duygusal bakýmdan;B2 ;adverb;;;;
emphasis ;"önem, aðýrlýk
vurgu";B2 ;noun;;;;
emphasize ;vurgulamak;B2 ;verb;;;;
empire ;imparatorluk;B2 ;noun;;;;
empirical ;deneye dayanan, deneysel;C1 ;adjective;;;;
employ ;çalýþtýrmak, istihdam etmek;A2 ;verb;;;;
employee ;çalýþan;A2 ;noun;;;;
employer ;iþveren, patron;A2 ;noun;;;;
employment ;iþ, istihdam;B1 ;noun;;;;
empower ;yetki vermek;C1 ;verb;;;;
empty ;boþ;A2 ;adjective;;;;
empty ;dökmek, boþaltmak;B1 ;verb;;;;
enable ;"olanak saðlamak; mümkün kýlmak";B2 ;verb;;;;
encounter ;karþý karþýya gelme;B2 ;noun;;;;
encounter ;"karþýlaþmak, karþý karþýya gelmek
rastlamak";B2 ;verb;;;;
encourage ;cesaret vermek, yüreklendirmek, teþvik etmek;B1 ;verb;;;;
encouragement ;teþvik, cesaret verme;C1 ;noun;;;;
encouraging ;"teþvik edici; cesaret verici";C1 ;adjective;;;;
end ;"son, uç
sona ermiþ, tükenmiþ";A1 ;noun;;;;
end ;"bitmek, sona ermek; bitirmek, sona erdirmek";A1 ;verb;;;;
endeavour ;çaba, gayret;C1 ;noun;;;;
ending ;son;A2 ;noun;;;;
endless ;bitmek tükenmek bilmez;C1 ;adjective;;;;
endorse ;onaylamak;C1 ;verb;;;;
endorsement ;"onay; (sürücü ehliyeti) trafik siciline geçme";C1 ;noun;;;;
endure ;dayanmak, katlanmak;C1 ;verb;;;;
enemy ;düþman;B1 ;noun;;;;
energy ;"enerji
gayret, güç";A2 ;noun;;;;
enforce ;" (yasa vb.) yürürlüðe koymak; (zorla) saðlamak";C1 ;verb;;;;
enforcement ;yaptýrým, uygulama;C1 ;noun;;;;
engage ;"ilgisini çekmek, dikkatini çekmek, meþgul etmek
karýþmak, bulaþmak";B2 ;verb;;;;
engaged ;"meþgul
niþanlý";B1 ;adjective;;;;
engagement ;"niþan
söz, randevu";C1 ;noun;;;;
engine ;motor;A2 ;noun;;;;
engineer ;mühendis;A2 ;noun;;;;
engineering ;mühendislik;B1 ;noun;;;;
enhance ;geliþtirmek, zenginleþtirmek;B2 ;verb;;;;
enjoy ;"hoþlanmak, zevk almak
eðlenmek, hoþça vakit 
geçirmek";A1 ;verb;;;;
enjoyable ;hoþ, zevkli;B2 ;adjective;;;;
enormous ;muazzam;A2 ;adjective;;;;
enough ;"yeterince; -ecek kadar";A1 ;adverb;;;;
enough ;"yeterli; yetecek kadar
yeterince";A1 ;determiner;;;;
enough ;"yeterli; yetecek kadar";A1 ;pronoun;;;;
enquire ;sormak, soruþturmak;C1 ;verb;;;;
enquiry ;araþtýrma;B2 ;noun;;;;
enrich ;zenginleþtirmek;C1 ;verb;;;;
enrol ;"yazýlmak, kaydolmak; yazmak, kaydetmek";C1 ;verb;;;;
ensue ; (bir olayýn arkasýndan) ortaya çýkmak;C1 ;verb;;;;
ensure ;garantiye almak, saðlamak;B2 ;verb;;;;
enter ;girmek;A2 ;verb;;;;
enterprise ;"giriþim, iþletme
giriþkenlik, giriþim yeteneði";C1 ;noun;;;;
entertain ;"misafir aðýrlamak
eðlendirmek, oyalamak";B1 ;verb;;;;
entertaining ;eðlenceli, hoþ;B2 ;adjective;;;;
entertainment ;eðlence;B1 ;noun;;;;
enthusiasm ;heves, istek, coþku;B2 ;noun;;;;
enthusiast ;hevesli, meraklý, tutkun;C1 ;noun;;;;
enthusiastic ;hevesli, istekli;B2 ;adjective;;;;
entire ;bütün;B2 ;adjective;;;;
entirely ;bütünüyle, tamamen;B2 ;adverb;;;;
entitle ;"hak kazandýrmak; layýk bulmak";C1 ;verb;;;;
entity ;"varlýk; birim";C1 ;noun;;;;
entrance ; (kapý, geçit vb.) giriþ;B1 ;noun;;;;
entrepreneur ;giriþimci;B2 ;noun;;;;
entry ;giriþ;B1 ;noun;;;;
envelope ;zarf;B2 ;noun;;;;
environment ;"çevre, ortam
çevre, doða";A2 ;noun;;;;
environmental ;"çevre; çevresel";B1 ;adjective;;;;
epidemic ;salgýn;C1 ;noun;;;;
episode ;"olay, macera
bölüm (tv ya da radyo oyunu)";B1 ;noun;;;;
equal ;eþit, denk;B1 ;adjective;;;;
equal ;eþit olmak;B1 ;verb;;;;
equal ;eþit, denk;B2 ;noun;;;;
equality ;eþitlik;C1 ;noun;;;;
equally ;eþit derecede, eþit ölçüde;B1 ;adverb;;;;
equation ;denklem;C1 ;noun;;;;
equip ;"donatmak
hazýrlamak";B2 ;verb;;;;
equipment ;donaným, gereçler, teçhizat;A2 ;noun;;;;
equivalent ;eþit, denk, eþdeðer;B2 ;adjective;;;;
equivalent ;karþýlýk, eþdeðer;B2 ;noun;;;;
era ;çað;B2 ;noun;;;;
erect ;"inþa etmek; dikmek";C1 ;verb;;;;
error ;hata, yanlýþ;A2 ;noun;;;;
erupt ; (yanardað) patlamak, püskürmek;B2 ;verb;;;;
escalate ;"týrmanmak, kýzýþmak; týrmandýrmak, kýzýþtýrmak";C1 ;verb;;;;
escape ;"kaçma; firar";B1 ;noun;;;;
escape ;kaçmak;B1 ;verb;;;;
especially ;"özellikle, bilhassa
özel olarak";A2 ;adverb;;;;
essay ;makale, deneme;A2 ;noun;;;;
essence ;"öz
esans";C1 ;noun;;;;
essential ;"gerekli, elzem; temel";B1 ;adjective;;;;
essentially ;özünde, aslýnda, esasen;B2 ;adverb;;;;
establish ;"kurmak; saptamak";B2 ;verb;;;;
establishment ;"kuruluþ; kurum
kurma, kurulma";C1 ;noun;;;;
estate ;"mülk, arazi
kompleks, site";B2 ;noun;;;;
estimate ;tahmin;B2 ;noun;;;;
estimate ;tahmin etmek, tahminde bulunmak;B2 ;verb;;;;
eternal ;"sonsuz; ebedi";C1 ;adjective;;;;
